Sentence_Preprocessed,Emotion
feel lucky wonderful cheap cozy cafe neighborhood serf incredible mexican hot chocolate,joy
feel apprehensive ride ahead,fear
keep wonderful feeling dream terrified bad harmful wrong,fear
started feel kind skeptical,fear
remember feeling violent disgusted oscar winner tell access hollywood,anger
feeling grumpy past day dont feel like upbeat self blog,anger
wanted root someone feel wronged condemned behalf,anger
terrified feeling terribly keen right,joy
feeling shaky day,fear
invite send email detailing way feel ive wronged promise post unedited outside name blog,anger
monitoring say anything ever come across blog feel offended please dont stop,anger
still trying find footing three year feel shaky ever,fear
classmate got b homework got c got result acted merit grade found humility hypocritical found disgusting,anger
know unfair reaction run way explain feel shaken best come right,fear
feel rushed lack time jerry springer weather amp suddenly want put porn confused hey let enjoy fun fun fun without hun without block hype,anger
feel special many people prayed hard,joy
feel hopeful coming year,joy
feel fearless janelle mon e elle canada february img width height src http www,joy
feel fab get hour sleep one go sam doesnt always oblige,joy
know feeling stem part accepted mainstream importantly community seek belongingness,joy
shalt say co din feel thing wrote hw keen xxx,joy
lowest level class first definitely difficult manage hotshot boy men best class last period leaf feeling somewhat useful end day,joy
feel redden manhood insulted demand satisfaction,anger
describe happens feel shaky,fear
feel like milestone race shaken novice feeling,fear
remembering told birthday selfish idiot feeling jealous people met nao,anger
feel nervous anxious dont know,fear
suppose feel terrified,fear
feel lucky nominated liebster award,joy
wasted entirely much time feeling insecure body,fear
feel like hood make sweater casual wear work wear sweater,joy
im tired cry feeling content loved going back cry,joy
feel like despised,anger
reading melee dp rant brought attention reason ive feeling fairly dissatisfied raid recently,anger
tend feel bit cranky gone day without making art,anger
write consider real profession even though teaching poetry troubled poor kid feel something useful,joy
feel like confused year old control,fear
hope feel glad gave many thing including memory cherish,joy
think feeling remix result neurotic,fear
id feel triumphant something,joy
realized constantly checking phone multitasking made feel rushed ragged time reached destination even talking someone really like,anger
feel apprehensive wonder mark made past still,fear
feel resentful,anger
im home feel cold seeped arm leg,anger
feel like act bitchy complainy try fit doesnt make sense part bitchy complainy,anger
feel really honored could experience brazilian public healthcare system inside,joy
always sensitive every sense feel like assaulted drag away darkness,fear
feel give even period feel detail sharpe certainly good enough read cover cover,joy
may feel hopeful many day truth must call mind lord portion therefore hope,joy
angry employer invest u training pay increase bank holiday feel like injustice feel helpless,fear
many others feeling helpless world hold grieving parent hand especially mother grandmother nigeria desperately wait assistance girl return back home safely let laughter ring home,fear
im listening right feel like need want share little one despite convinced atheism somehow never fails make feel better,joy
feel uncomfortable using word awesome idea actually,fear
woke feeling cranky morning,anger
